Author,Date,Location,Text
globalnews,2020-03-05 19:56:55,NAN,RT A pair of students at Dalhousie University are hoping to inspire women to run for office while recognizing the efforts and effect that their predecessors have had on Canadas Ocean Playground NSpoli
workatdal,2020-03-05 19:46:18,NAN,RT A pair of students at Dalhousie University are hoping to inspire women to run for office while recognizing the efforts and effect that their predecessors have had on Canadas Ocean Playground NSpoli
susanleblancMLA,2020-03-05 19:43:53,NAN,RT A pair of students at Dalhousie University are hoping to inspire women to run for office while recognizing the efforts and effect that their predecessors have had on Canadas Ocean Playground NSpoli
AlexanderQuon,2020-03-05 19:41:50,ReginaSaskatoon Halifax,RT A pair of students at Dalhousie University are hoping to inspire women to run for office while recognizing the efforts and effect that their predecessors have had on Canadas Ocean Playground NSpoli
globalhalifax,2020-03-05 19:40:38,Atlantic Canada,A pair of students at Dalhousie University are hoping to inspire women to run for office while recognizing the efforts and effect that their predecessors have had on Canadas Ocean Playground NSpoli
LORRAINEVILLEN3,2020-03-05 19:33:52,Fla via Oz via Cali via Canada,RT Are you a mom who lives in NS NB or PEI Have you given birth in the past 6 months Researchers at Dalhousie University are interested in learning about what types of information you look for and where you find it related to the birth of your child Find out more
WiseHealthLaw,2020-03-05 17:51:58,Oakville Ontario,Valerie Wise is visiting the Schulich School of Law at Dalhousie University presenting about careers in health law and bringing greetings from the CBA
GayleneSass,2020-03-13 00:49:59,,RT As a Canadian I have more confidence in Donald Trump and the USA to look after my well being than I do Trudeau and
AmberDevlin01,2020-03-13 00:49:59,Greater Vancouver,Well this is one way to StopDairy COVID19 CoronaVirusCanada
_chenell_,2020-03-13 00:49:59,CA ✈️ VA,RT am i the only one that doesnt want my university to go to online courses i didnt sign up to take online course
realpointsnerd,2020-03-13 00:49:59,,Air Canada Signature Suite is gorgeous YVR International Departures
KenCunn77721220,2020-03-13 00:49:59,Ex NWT. Port Hardy newbie,RT To put US covid19 testing failure in context Canada has now tested more than 7600 people over a 1000 more th
Dal_IHIM,2020-03-05 17:37:40,Halifax Nova Scotia,Looking for a summer camp Dalhousie University offers many different types of camps in the summer including our Junior University Health science camp offered to Indigenous youthTo learn more about the camps check out the link below
CIFST_ICSTA,2020-03-05 17:31:16,Canada,RT Molecules Special Issue Flavonoids and Their Disease Prevention and Treatment PotentialSubmissions by July 17 Edited by Prof Vasantha Rupasinghe Dalhousie University Canada MoleculesMDPI Flavonoids ChronicDiseases MetabolicDiseases
LisaRobertsHfx,2020-03-05 17:20:54,Halifax Nova Scotia,Recognized in NS Legislature the SHIFT Equity Conference Equity Accessibility Public Spaces on Mar 6 amp 7 free Organized annually by Dalhousie University School of Planning students Shift The Dalhousie School of Planning Conference nsleg
RossFarmMuseum,2020-03-05 17:00:46,New Ross Nova Scotia,RT Starting tonight try to catch one of the special events this week for the The Impossible Museum exhibit at the Thomas McCulloch Museum at Dalhousie University featuring objects related to McCulloch from our cultural amp natural history collections
NSMHistory,2020-03-05 16:01:20,Halifax Nova Scotia Canada,Starting tonight try to catch one of the special events this week for the The Impossible Museum exhibit at the Thomas McCulloch Museum at Dalhousie University featuring objects related to McCulloch from our cultural amp natural history collections
NS_Procure,2020-03-05 15:55:12,Nova Scotia,Supply amp Install Fixed Seating amp Furniture Psychology Life Sciences Centre Dalhousie University nsmash
MadPharmacist1,2020-03-05 12:45:03,NAN,GHGGuru eat ImpossibleFoods In Canada demand for dairy fats is raising by 23 probably because of the ketoeffect since 26 of Canadians are doing keto or thinking of doing it per Dalhousie University survey Canadians are not buying the EATLancet and the vegan propganda
MadPharmacist1,2020-03-05 12:37:20,NAN,Gstordalen ImpossibleFoods GoodFoodInst EATforum In Canada 26 of the population is keto or thinking about keto per Dalhousie University survey The demand for dairy fats is raising by 23 in Canada because of keto So yeah keep dreaming In Canada 1 vegans versus 26 keto Animal source foods are the future
RexannaKeats,2020-03-05 11:26:21,NAN,RT CTVAnchor interviews one of our leading experts on viruses and how they behave Dr Todd Hatchette is service chief division of microbiology Department Of Pathology And Laboratory Medicine at Dalhousie University COVID19
CTVAtlantic,2020-03-04 22:45:06,Maritime Provinces Canada,CTVAnchor interviews one of our leading experts on viruses and how they behave Dr Todd Hatchette is service chief division of microbiology Department Of Pathology And Laboratory Medicine at Dalhousie University COVID19
GliderPLOCAN,2020-03-04 22:39:00,Canary Islands,RT Listen now to episode two of our new marinetechtalk podcast with Jude Van der Meer Glider Technician Dalhousie University CEOTR Team Click here gt and on iTunes or anywhere you get your podcaststeledynemarine marinetechtalk podcastlife
InnovationNAV,2020-03-04 22:00:55,Canada,Looking for indoor and outdoor AirQuality assessment Contact DalhousieUs Health and Environments Research Centre NASAEarthData SOCAARUofT ELSenviron stylergroup GovCanHealth aerosolscience envirotech cleantech
TeledyneMarine,2020-03-04 20:00:50,Global,Listen now to episode two of our new marinetechtalk podcast with Jude Van der Meer Glider Technician Dalhousie University CEOTR Team Click here gt and on iTunes or anywhere you get your podcaststeledynemarine marinetechtalk podcastlife
PReganUKC,2020-03-04 18:58:27,Halifax Nova Scotia,RT Want to learn more about our partnership with Dalhousie University Come to our Open House on March 20 and learn about our relationship while experiencing what its like to study on both campuses
ukings,2020-03-04 18:50:03,Halifax NS,Want to learn more about our partnership with Dalhousie University Come to our Open House on March 20 and learn about our relationship while experiencing what its like to study on both campuses
JylianDavis,2020-03-13 00:49:59,"Chilli ➡️ Canton, Mo ",RT Some good news to cheer you upKorea and China are recovering Vietnam had their cases under control until British
dvpestpimp,2020-03-13 00:50:00,"Clarksville, TN",RT kaylaeferguson This is such a minor inconvenience lol The university doesnt have a choice Be thankful you aren
GGHA_Hockey,2020-03-13 00:50:00,,All practices games and championships cancelled as of March 12 The OWHA just announcedHockey Canada Board of D
Palmerjodi3Jodi,2020-03-04 17:23:59,Canada,AtomicMI6 canukcookie And dont forget the speaking engagement at Dalhousie university
EcoInternetDrGB,2020-03-04 17:07:03,New York NY,Dalhousie Reading Circle Reclaiming Power and Place The Final Report of the National Inquiry into Missing and Murdered Indigenous Women and Girls Dalhousie University MORE w EcoSearch news web
EcoInternetDrGB,2020-03-04 15:01:04,New York NY,Womens rights as HumanRights Understanding the struggle for equality Dalhousie University MORE w EcoSearch news web
GliderPLOCAN,2020-03-04 12:37:37,Canary Islands,RT Episode two of our marinetechtalk podcast is now available Thank you to Jude Van der Meer Glider Technician Dalhousie University CEOTR Team for joining us on the show Listen as we discuss identifying and protecting whales with gliders Click here
FoodProfessor,2020-03-04 12:10:12,sylvaincharleboisdalca,RT Registration Now Open for OFPAs 62nd Annual Spring Technical Meeting visit MEET ONE OF OUR SPEAKERS Dr Sylvain Charlebois Sr Director AgriFood Analytics Lab at Dalhousie UniversityTOPIC Benchmarking Canadas SFCR with the Global Industry
ofpamedia,2020-03-04 12:00:55,Ontario Canada,Registration Now Open for OFPAs 62nd Annual Spring Technical Meeting visit MEET ONE OF OUR SPEAKERS Dr Sylvain Charlebois Sr Director AgriFood Analytics Lab at Dalhousie UniversityTOPIC Benchmarking Canadas SFCR with the Global Industry
jewelofthenine,2020-03-04 11:34:03,SPIRIT IN THE SKY,RT kungfuzombie TPostMillennial MarSos75 Probably the same idiots that had Omar Khadr speak at Dalhousie university a month agoTrudeauMustGo PlaidArmy
TeledyneMarine,2020-03-04 11:00:24,Global,Episode two of our marinetechtalk podcast is now available Thank you to Jude Van der Meer Glider Technician Dalhousie University CEOTR Team for joining us on the show Listen as we discuss identifying and protecting whales with gliders Click here
BrianK03215355,2020-03-04 02:58:32,NAN,kungfuzombie TPostMillennial MarSos75 Probably the same idiots that had Omar Khadr speak at Dalhousie university a month agoTrudeauMustGo PlaidArmy
JazzlamHazzlam,2020-03-04 00:59:54,Halifax Nova Scotia,RT The only inperson BAC consultation for DalhousieU this year is at 1230 tomorrow Its in a very small room so get there early if you can attend If you cant attend email BACdalca before 18 March Context dalfacultyassoc
W6Jeff,2020-03-04 00:51:07,Prince Edward Island,srbaker Ed Broadbent was an honorary doctorate recipient and the keynote speaker when I graduated from Dalhousie University in 1990 Afterward he took the time to mingle at the reception meet and chat with the grads shake hands and take photos A great guy
The_Alv,2020-03-13 00:50:00,"Málaga, Spain",RT Fellow academics take note No pressure
SPcrusaders,2020-03-13 00:49:47,"Sherwood Park, Alberta",RT Hockey Canada Season Ends AJHL Playoffs Postponed The Hockey Canada Board of Directors has made the decision to
hisuniquestyle,2020-03-13 00:50:00,"Chicago, IL",RT She got a 27 cuz she be on tour and one of the top artist in the world Yall got a 26 cuz yall smoke weed all d
TeagueysMom,2020-03-13 00:50:00,,Dear Ms Corona V Im gonna need you to chill out I work at a university and am not benefiting from school closur
shnm__,2020-03-13 00:49:54,tw,RT GUYS MY THESIS GOT ACCEPTED FOR A CONFERENCE IN VANCOUVER CANADA KINIKILIG AKO SOBRA
Spinella_T,2020-03-13 00:49:50,NAN,RT A new COVID19 assessment centre opened today in Halifax Those who have travelled out of country and who develop a fever of 38C or higher andor cough should call 811 Do not go to an assessment centre without being referred by 811
FormerREPUBLI15,2020-03-13 00:48:50,NAN,itsDaadnotDad clearingfog Last Tango in Halifax was great Love the British shows
EdmOKFanBus,2020-03-13 00:48:12,Edmonton,RT After Aprs 2 You can tell the SMUHuskies feel athome in Halifax as they lead guelphgryphons 31 into the third period cbcsports EN FRChaseTheGlory ViserHaut
DeEmErZ9o2,2020-03-13 00:47:30,Halifax Nova Scotia,EVERYONE just needs to stay inside and play ModernWarfarewarzone wait out this Covid19 and keep it from attacking Halifax NovaScotia
DarMyers,2020-03-13 00:46:33,Halifax Nova Scotia,csnapper sackvegas ShopprsDrugMart JohnTory gordperks BhutilaKarpoche Went to a SDM in Halifax this evening to but one roll and al they had keft was priced at 1499 for a small package Walked out
shastef,2020-03-13 00:46:12,Atlantic Canada,Baby agaves carry on legacy of Halifaxs most famous plant CBC News
M0RDS,2020-03-13 00:45:59,Philippines,RT Halifax England 1965John Bulmer
eslpei,2020-03-13 00:44:20,NAN,RT Canada Coronavirus NovaScotia Halifax HRM COVID19 Nova Scotia if it hasnt already needs to test ALL cases of fever and pneumonia to stop this spread and not just people with a direct link to a foreign source like Italy or Iran
jimifan,2020-03-13 00:43:44,Charlottown PE Canada,theteapartyband No comparison live is where the Tea Party comes alive To me thats the tell tale sign of a great band I remember the first live Tea Party concert I saw it was transcendent Halifax 93 I think Been awhile My ears may still be ringing LoudThe River still a big fav of mine
SteveMcLean888,2020-03-13 00:43:38,GuelphYYZ,2nd year in a row a hockey team from Guelph falls in a national championship hosted in Halifax by a team called the Huskies
PhantomLord87,2020-03-13 00:43:05,Annapolis Valley Nova Scotia,dhsauno They were close to 150 at market value here for the Halifax show thats what I said I said fuckin figger it out
DalGazette,2020-03-13 00:42:49,Kjipuktuk Halifax NS,RT Ill be covering the U Cup the university mens hockey national tournament here in Halifax for the dalgazette this weekend Acadia and UNB play separate quarter finals tomorrow Western and hometown SMU took todays games and move on to Saturday
ActualSamHarris,2020-03-13 00:41:37,New York,crayolaawonderr Whats last tango in Halifax
Sowdy33,2020-03-13 00:41:10,NAN,RT TIED UP Captain Halifax Cjamieson88 with a bouncer from distance 99
crayolaawonderr,2020-03-13 00:40:41,NAN,ActualSamHarris LAST TANGO IN HALIFAX not sitcom but fulfills everything else imo
ogushey,2020-03-13 00:50:01,,RT UCC Tech Legon are you wiser than Harvard
trin_asf,2020-03-13 00:50:01,htx / txst,RT unless youre going to gradmedlaw school most jobs do not give a fuck about your GPA jobs after school come fro
morash33,2020-03-13 00:39:41,NAN,SteveMcLean888 There is still slim Hopes for Halifax to make it
QueenoftheBB,2020-03-13 00:38:11,Halifax Nova Scotia,RT Conductive Education participantsin Halifax were treated to a fun farmy experience this March Activities that helped improve motor functions included planting beans horseback riding and harvesting crops Inquire about CE in Halifax by blynchmarchofdimesca
jeskagrue,2020-03-13 00:37:04,Sackville New Brunswick,RT Halifax YHZ remember Hurricane Dorian amp the impacts it had on the poor disabled amp elderly More disasters amp crises such as covid19 are looming amp we need to collectively prepareIt doesnt take much to reach out to ur neighbours Organize ur neighbourhood DM for template
StephenParag,2020-03-13 00:35:48,The Valley,Gas in Halifax dropped 12 cents over night keep it going corona
jennhoegg,2020-03-13 00:35:30,NS Canada,RT ASK YOUR NEIGHBOUR Who approved that annoying sign in Halifax
salthalifax,2020-03-13 00:35:00,Halifax,ASK YOUR NEIGHBOUR Who approved that annoying sign in Halifax
HendryMatty,2020-03-13 00:34:02,Hartlepool England,Anyone with Halifax not been paid yet
DanielLUFC_,2020-03-13 00:32:28,Workington England,m1c4hE19 Halifax youre the same eh
CassieB75163425,2020-03-13 00:30:46,Universe,RT COVID19 is a serious public health issue Here are some tips for reducing physical contact while still being friendly HandsFreeHalifax For the latest COVID19 related information please visit
LangLycan,2020-03-13 00:29:53,NAN,Ill be covering the U Cup the university mens hockey national tournament here in Halifax for the dalgazette this weekend Acadia and UNB play separate quarter finals tomorrow Western and hometown SMU took todays games and move on to Saturday
nssaltfarmer,2020-03-13 00:29:16,KjipuktukHalifax NS,RT Halifax YHZ remember Hurricane Dorian amp the impacts it had on the poor disabled amp elderly More disasters amp crises such as covid19 are looming amp we need to collectively prepareIt doesnt take much to reach out to ur neighbours Organize ur neighbourhood DM for template
angelic_roses,2020-03-13 00:29:03,Airdrie AB,DevanKaneyTV NLL Im not a Rush fan by no means but that Halifax vs Rush game that had Halifax with an epic comeback to go into OT where it was an absolutely crazy back and forth game with unfortunately the Rush winning
cretedeepsea,2020-03-13 00:28:54,GreeceCanada,RT Nova Scotia to ease spring weight restrictions to assist forestry sector Halifax
Halifax2020,2020-03-13 00:28:47,NAN,MarkHfx or they will come out in droves to vote against a person they see unfit for Mayor of HalifaxBy reading online comments I say my words are correct I bet the taxi sector their families and friends will all vote against Matt just because of his insults at them2000 votes I bet
LauraBlinn,2020-03-13 00:28:37,St Francis Xavier University,RT Halifax YHZ remember Hurricane Dorian amp the impacts it had on the poor disabled amp elderly More disasters amp crises such as covid19 are looming amp we need to collectively prepareIt doesnt take much to reach out to ur neighbours Organize ur neighbourhood DM for template
Yukiruuu,2020-03-13 00:49:55,,RT Following recent developments and in consideration of the safety and wellbeing of Mikus fans and touring staff am
OzmaSommers,2020-03-13 00:50:02,Not in the USA,RT We can have one little bit of big good news
woemett,2020-03-13 00:50:02,,RT never forget that during the H1N1 epidemic the Government of Canada sent body bags to remote reserves in Manitoba i
DKingdeMontano,2020-03-13 00:50:02,,RT This is absolutely necessary for us to keep our mothers and babies safe and also our staff Naro Imcha on Infect
QueenoftheBB,2020-03-13 00:28:35,Halifax Nova Scotia,RT BREAKING The QMJHL Along with the WHL and OHL has suspended its season due to the Coronavirus outbreak halifax QMJHL
Peter_the_Gr8,2020-03-13 00:28:15,Halifax MA,Lindsayisms universalhub Paper towel and TP aisle at Walmart in Halifax at 6pm Thursday
dradrianchapman,2020-03-13 00:26:44,London England,RT Wash your hands and come and watch me talk about Syd at the following May 16th Words Weekend Bury St Edmunds June 24th Century Club SohoSept tbc Aleph Festival ParisOctober 3rd Halifax Festival of Wordsretweet or DM anyone else you think might want to book me
GuilhemMusic,2020-03-13 00:26:38,Montreal QC,Playing GusPub tonight in Halifax not a lot of halifolks out here but I guess everybodys cancelling everything so it makes sense
nolifeleeanne,2020-03-13 00:25:58,Nova Scotia Canada,RT A new COVID19 assessment centre opened today in Halifax Those who have travelled out of country and who develop a fever of 38C or higher andor cough should call 811 Do not go to an assessment centre without being referred by 811
Halifax2020,2020-03-13 00:25:40,NAN,MarkHfx monkeyladylil well that poll said new leadership and take it the way you want but dont could Lil out She got 30 last time that 30 will not vote Mike and many will not vote Whitman so she could spilt the vote and walk home as the Mayor of Halifax The Poll solidifies that Mike has 60
dylbobagginz,2020-03-13 00:25:25,Dartmouth NS,RT Halifax YHZ remember Hurricane Dorian amp the impacts it had on the poor disabled amp elderly More disasters amp crises such as covid19 are looming amp we need to collectively prepareIt doesnt take much to reach out to ur neighbours Organize ur neighbourhood DM for template
KevinFurze,2020-03-13 00:24:45,Halifax Nova Scotia,Have they tried injecting people with Halifax harbour water to combat COVID19
rajahwilko,2020-03-13 00:24:38,Toronto,AndyOstroy or you fly into Halifax or Montreal or Toronto and drive down to US or will the border be closed that route as well If so will likely snag traffic at the border bigly costing the economy even more
QueenoftheBB,2020-03-13 00:24:30,Halifax Nova Scotia,RT The 2020 Halifax St Patricks Day Parade has been cancelled
SniipesMercer,2020-03-13 00:21:52,Nova Scotia Canada,ServiceCanadaE Will the Halifax office be open tomorrow
edflynn,2020-03-13 00:21:40,Rothesay New Brunswick,Many level heads among the players for sure but a global pandemic renders sporting events rather meaningless Curious to see Canadian University sport among the few Ive seen continuing their hockey championships women here in Charlottetown and men in Halifax
tiffzny,2020-03-13 00:21:23,USCanada,I took a break from most of social media today to ease my coronanxieties caused by consuming too much coronacontent Halifax blessed us with a beautiful warmish sunny day and my dogs and partner and I spent awhile running around the park Enjoy today and wash your hands
murphycurling,2020-03-13 00:20:20,Canada,Hey folksLeaving Halifax NS for Daytona by road 23 AprilAnybody need anything We got lots here Ok Go
EtlamDims,2020-03-13 00:20:13,NAN,RT Halifax YHZ remember Hurricane Dorian amp the impacts it had on the poor disabled amp elderly More disasters amp crises such as covid19 are looming amp we need to collectively prepareIt doesnt take much to reach out to ur neighbours Organize ur neighbourhood DM for template
Nxhj_10,2020-03-13 00:50:02,"ÜT: 13.097064,-59.58003",Seneca right now
JasonSolowski,2020-03-13 00:50:02,"Boston, MA",RT BREAKING A Tufts student has tested positive for COVID19 becoming the first university affiliate with a presumpt
wilrickquisto,2020-03-13 00:19:42,Halifax Nova Scotia,RT Halifax Mayor Mike Savage saying he and his office are now taking part in voluntary isolation after someone possibly came in contact with someone being tested for COVID19
wilrickquisto,2020-03-13 00:18:25,Halifax Nova Scotia,RT IWK Health Centre in Halifax restricts visitors to protect patients
mikebarkhouse,2020-03-13 00:18:17,At a sports venue near you,That wraps up an exciting Day 1 at UCup Two more big Quarterfinals go tomorrow here in Halifax
FantomPCS,2020-03-13 00:17:53,The State of Independence,RT You have the keys to my Viper for one day what are you doing with it Halifax Nova Scotia
smithc902,2020-03-13 00:16:57,Moncton New Brunswick,RT The spokesperson said the offices were closed after someone who recently travelled from one of the countries impacted by the coronavirus came into the Halifax office with a cough
GHLHockeyLeague,2020-03-13 00:15:50,NAN,Well the NHL season might be on hold but the GHL Playoffs are just getting started with the 3rd broadcast of the postseasonHalifax Hammerheads 1 GM SmootInTheShellSeattle Titans 3 GM CrashAndrews
karenweatherst3,2020-03-13 00:15:33,NAN,RT Check out this great article thanks to jennhoegg
beejtronic,2020-03-13 00:14:54,Halifax NS Canada,Anyone else just see a streak of green light falling out of the sky above Halifax
canadian_gal,2020-03-13 00:14:47,CanadaBahamas,RitaMaeBarker UMassHockey OH NO UCup in Halifax literally got in by the hair of their chinny chin chin they had a press conference today They had a contingency plan what the guys can and cant do etc If this was a week later I dont think it would have happened
JustinG_fit,2020-03-13 00:14:15,Philadelphia PA,TheTruthPUBG Halifax Agreed Crate weapons are balanced just simply remove the DBS its so simple lol and maybe add a cool crate weapon that is also balanced
SSurfar,2020-03-13 00:13:54,NAN,RT Omg nancywtaylor sent me a post about pugs available in halifax and now I cant even eat my nachos because Im in love with them and Im trying to convince Justin we need oneOn a unrelated note isnt it easier to ask for forgiveness than permission
HalifaxSport,2020-03-13 00:13:30,NAN,RT Halifax blanks Cole Harbour 50 to take bestof7 series 42 Shots 3322 Macs advance to NSMMHL final and face winner of WeeksMustangs semi final series
bishop_patty,2020-03-13 00:13:07,Halifax Nova Scotia,RT Next Wednesday March 18 is Transit Driver Appreciation Day but we think we should appreciate our drivers and operators every day of the year For this weeks tbt were looking at how hfxtransit looked in the past with the hfxarchives
MattRay19511915,2020-03-13 00:13:05,NAN,ExoticTouchD Iol Im not kidding Im in Halifax air bnb watching The Office when I should be washing your back and more
jennhoegg,2020-03-13 00:13:02,NS Canada,How much to tip Where does the money go 3 Halifax servers on tipping culture The Chronicle Herald
RTsFromSpace,2020-03-13 00:50:02,,RT Marjorie Townsend was a woman of many firsts She was the first woman to earn an engineering degree from George W
ValerieGiftsUK,2020-03-13 00:50:03,,HandmadeInUK Green Jade and Oriental Floral Painted Porcelain Bead Bracelet 650 Add 2 to ship to US amp Canad
Sonic_Snafu,2020-03-13 00:50:03,"Hamilton, Ontario, Canada",RT Canadafuck yeah
oDraugr,2020-03-13 00:50:03,Home,RT unless youre going to gradmedlaw school most jobs do not give a fuck about your GPA jobs after school come fro
IvyRound,2020-03-13 00:50:03,the nörth,RT I salute all the academics scrambling to prepare their teaching for online delivery because coronavirus At the Op
CantarNick,2020-03-13 00:12:14,NAN,RT so when are we organizing a halifax rent strike
michaeloharan,2020-03-13 00:12:05,Halifax Nova Scotia,imagine living in the center of halifax growing up and still only having friends online because you just did not like the Physical world and identified more with early meme culture than your surroundings
Natashasci1,2020-03-13 00:11:56,NAN,RT The spokesperson said the offices were closed after someone who recently travelled from one of the countries impacted by the coronavirus came into the Halifax office with a cough
TimSwift,2020-03-13 00:11:39,Halifax Calderdale England,RT Calderdale Industrial Museum Halifax CaldIndusMuseum deanclough Calderdale HxVisitorCentre ThePieceHall HistoricEngland DiscoverHx hxnorthandeast CalderdaleLife TheBeaconHx HXCourier Halifax architecture Museums DroneReveal for ground and aerial photography
lauren_stokes5,2020-03-13 00:11:35,Ottawa Ontario,RT COVID19 is a serious public health issue Here are some tips for reducing physical contact while still being friendly HandsFreeHalifax For the latest COVID19 related information please visit
sakurasasku,2020-03-13 00:11:31,Zipangu,RT Sundog on the Halifax River Ormond Beach by the Sea Florida stormhour
Zone6_Media,2020-03-13 00:10:48,Halifax,RT Were going virtual Our March 24th meetup is changing venues we are moving from inperson to hosting this months event as an online session with our speakersSame time same schedule but on the internetRSVP ahead of the event here
BarssJohn,2020-03-13 00:10:41,Canada,RT Was just thinking oh ohHalifax police budget 90MAmt set aside for 1 CFL game 20MAmt for socialaffordable housing 0Amt for school breakfasts 0We have an affordable housing crisisWe have the highest rate of child poverty in Canada
valentino_nora,2020-03-13 00:10:40,from Minto NB,RT Welcome to Halifax UBC WHITMAN2020
Nickynoneck83,2020-03-13 00:10:36,canada eh,RT A new COVID19 assessment centre opened today in Halifax Those who have travelled out of country and who develop a fever of 38C or higher andor cough should call 811 Do not go to an assessment centre without being referred by 811
plaroche,2020-03-13 00:10:06,NAN,RT Were going virtual Our March 24th meetup is changing venues we are moving from inperson to hosting this months event as an online session with our speakersSame time same schedule but on the internetRSVP ahead of the event here
wc_halifax,2020-03-13 00:09:39,Halifax NS Canada,Thu 2100 Mainly Clear Temp 16 C Windchill 5 Humidity 90 Press 1028 kPa rising
joellemac,2020-03-13 00:09:16,St Johns,Omg nancywtaylor sent me a post about pugs available in halifax and now I cant even eat my nachos because Im in love with them and Im trying to convince Justin we need oneOn a unrelated note isnt it easier to ask for forgiveness than permission
manuel__moncayo,2020-03-13 00:07:27,KjipuktukHalifax,RT so when are we organizing a halifax rent strike
larevuecrap,2020-03-13 00:07:21,Montral Qubec,Lawyer for Nova Scotia officer charged with theft applies to mental health court HalifaxRegionalPolice PoliceTheft SuspendedWithPay
globejusticegjj,2020-03-13 00:50:03,"New York, USA",RT We updated our data on total coronavirus testing capacity in US Remember our figures for total capacity do not
cealbone,2020-03-13 00:50:03,"The other Hollywood, NS ",Oh kramergirl its not that cold here in Canada it maybe a little colder then Nashville but you grew up in Mich
TheRocketGirl16,2020-03-13 00:50:03,"Strathroy, Ontario",RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned
Cutts_97,2020-03-13 00:06:45,England United Kingdom,RT Barry Scott Akon amp Piers Morgan vs The Pope Halifax Man amp Wayne Lineker CelebrityFifa20 Part 1
Halifax2020,2020-03-13 00:06:39,NAN,MarkHfx 10 did you have issues in high school math The poll is going 1820 in favour of Mike Remember the question was new leadership Matts been on council for 8 years maybe the voters mean monkeyladylil a fresh face if Lil enters and Matt and Mike split she will win Halifax
iqbal_mazher,2020-03-13 00:06:25,NAN,RT We did it Massive thanks to Halifax Library BarnsleyLibs BarnsleyDMC and SheffLibraries for hosting pop up makerspaces in your communities
salthalifax,2020-03-13 00:05:00,Halifax,How two Halifax students are writing the book on change in politics womennspolitics
Eileen85638827,2020-03-13 00:04:56,NAN,RT The spokesperson said the offices were closed after someone who recently travelled from one of the countries impacted by the coronavirus came into the Halifax office with a cough
Brdcaster,2020-03-13 00:04:54,Toronto,RT CBC reporter Sherri Borden Colley to receive honorary degree from Halifax university
cormier_maurice,2020-03-13 00:04:51,NAN,RT Coach Goody SJ and Dom are all in Halifax this weekend for the University Cup National ChampionshipOnce the season wraps this weekend theyll be busy preparing for another fun season of ball hockey
k_cawsey,2020-03-13 00:04:16,Halifax Nova Scotia,RT Halifax YHZ remember Hurricane Dorian amp the impacts it had on the poor disabled amp elderly More disasters amp crises such as covid19 are looming amp we need to collectively prepareIt doesnt take much to reach out to ur neighbours Organize ur neighbourhood DM for template
kizu91,2020-03-13 00:04:15,NAN,CanadaAbbotsfordKitchenerEdmontonSt CatharinesSt JohnsVictoriaMontrealTorontoChicoutimiJonquireHalifax
ChickweedArts,2020-03-13 00:03:55,Nunavut Canada,RT When I was in Halifax I sneezed and someone jokingly asked if I had Coronavirus I told them not to worry Im from Nunavut so its probably just TB
SafeH2o4Schools,2020-03-13 00:03:29,Mesa AZ,RT Halifax Waters plan to replace homeowners lead pipes the first of its kind in Canada The Star
lyn3690,2020-03-13 00:03:07,Dalhousie University,RT A new COVID19 assessment centre opened today in Halifax Those who have travelled out of country and who develop a fever of 38C or higher andor cough should call 811 Do not go to an assessment centre without being referred by 811
BleedGreenCa,2020-03-13 00:50:04,,RT Survey conducted by researchers from a university in Kashmir and New Yorks Skidmore College
maria__giesela,2020-03-13 00:50:04,,RT Every university across the United States right now
RickTulsie,2020-03-13 00:50:04,"Calgary,Alberta.",RT BREAKING All Hockey Canada sanctioned events have been postponed
Ez4u2say_Janis,2020-03-13 00:50:04,"Newfoundland and Labrador, Can",RT Wow dean of University of Washington medical school is asking qualified graduate students to pause their research
HalifaxBank,2020-03-13 00:01:00,NAN,bethanycogdon Hi Im Martin Thanks for getting in touch You can find details about your Travel Insurance here
Jodwyer19,2020-03-13 00:00:43,Halifax,LJH68793348 We are in Halifax Are u going to be a live donor
SoBoGazette,2020-03-13 00:00:01,South Boston VA,The public is invited to a night of laughter good fun and supporting a cause near to the hearts of many in Halifax County when Halifax County Cancer Association hosts the 6th annual Womanless Beauty Pageant at 7 pm Saturday
NB2BC2NB,2020-03-12 23:58:56,Fredericton NB Canada,RT University Cup mens national hockey tournament goes ahead despite COVID19 sport shutdown Halifax
annyoun71890413,2020-03-12 23:58:42,NAN,RT Viking Cruises has suspended all river and ocean cruises until May 1 according to its website The company has three visits to Halifax scheduled but all in SeptemberOctober
MacrossCreddie,2020-03-12 23:58:24,Suisun City CA,RT I pointed to the accessible permit I tried to have a conversation with him but he just wasnt willing to hear it And yeah he got really really upset to the point that I just had to get the chair out and wheel away
idrisk_urniawaN,2020-03-12 23:57:20,bandung,on YouTube Sometimes You Just Have to Be Foolish ft halifax and Meerko CoD Call of Duty Warzone Gameplay
callunacarbon,2020-03-12 23:56:55,Alberta Canada,RT The Needle Galaxy NGC 4565 is an edgeon spiral galaxy about 3050 million light years away in constellation Coma Berenices Imaged from Halifax late last month
OneTrueBLUEbird,2020-03-12 23:55:54,NAN,chriskeller650 Grace and Frankie Last Tango in Halifax
navsigtdk,2020-03-12 23:55:22,Grand BayWestfield New Brunswick,RT The 2020 Halifax St Patricks Day Parade has been cancelled
globalhalifax,2020-03-12 23:55:11,Atlantic Canada,RT University Cup mens national hockey tournament goes ahead despite COVID19 sport shutdown Halifax
